ItemID;Target;DisplayTarget;StimulusType;WordFrequency;Set
outbid;outbid;outbid;WORD;LF;2
cobalt;cobalt;cobalt;WORD;LF;2
bobcat;bobcat;bobcat;WORD;LF;2
lastly;lastly;lastly;WORD;LF;1
clench;clench;clench;WORD;LF;1
thorny;thorny;thorny;WORD;LF;1
meager;meager;meager;WORD;LF;1
attest;attest;attest;WORD;LF;1
fondle;fondle;fondle;WORD;LF;2
quirky;quirky;quirky;WORD;LF;1
pulley;pulley;pulley;WORD;LF;1
linear;linear;linear;WORD;LF;2
unisex;unisex;unisex;WORD;LF;2
burrow;burrow;burrow;WORD;LF;2
expire;expire;expire;WORD;LF;2
bisque;bisque;bisque;WORD;LF;2
mantel;mantel;mantel;WORD;LF;1
idiocy;idiocy;idiocy;WORD;LF;1
optimum;optimum;optimum;WORD;LF;2
headway;headway;headway;WORD;LF;2
polymer;polymer;polymer;WORD;LF;1
airlock;airlock;airlock;WORD;LF;1
firefly;firefly;firefly;WORD;LF;1
grander;grander;grander;WORD;LF;2
spatial;spatial;spatial;WORD;LF;1
midwife;midwife;midwife;WORD;LF;2
rougher;rougher;rougher;WORD;LF;2
walkway;walkway;walkway;WORD;LF;1
plywood;plywood;plywood;WORD;LF;2
emulate;emulate;emulate;WORD;LF;1
teatime;teatime;teatime;WORD;LF;2
earlobe;earlobe;earlobe;WORD;LF;1
parsley;parsley;parsley;WORD;LF;1
surname;surname;surname;WORD;LF;1
halibut;halibut;halibut;WORD;LF;2
diverse;diverse;diverse;WORD;LF;1
bipolar;bipolar;bipolar;WORD;LF;2
acrobat;acrobat;acrobat;WORD;LF;2
preface;preface;preface;WORD;LF;2
comical;comical;comical;WORD;LF;2
catwalk;catwalk;catwalk;WORD;LF;2
vantage;vantage;vantage;WORD;LF;1
tsunami;tsunami;tsunami;WORD;LF;2
ghostly;ghostly;ghostly;WORD;LF;1
compile;compile;compile;WORD;LF;2
distort;distort;distort;WORD;LF;1
playoff;playoff;playoff;WORD;LF;1
stately;stately;stately;WORD;LF;2
wiyktliy;wiyktliy;weektly;NONWORD;HF;2
baebd;baebd;babed;NONWORD;HF;1
biyliy;biyliy;beely;NONWORD;HF;2
chawn;chawn;chown;NONWORD;HF;1
chayz;chayz;chise;NONWORD;HF;2
cheyl;cheyl;chale;NONWORD;HF;1
drayp;drayp;dripe;NONWORD;HF;1
druwn;druwn;droon;NONWORD;HF;1
feyliy;feyliy;faily;NONWORD;HF;2
flehst;flehst;flest;NONWORD;HF;1
fraest;fraest;frast;NONWORD;HF;2
frayl;frayl;frile;NONWORD;HF;2
freyk;freyk;frake;NONWORD;HF;1
graesh;graesh;grash;NONWORD;HF;2
hhaeksiy;hhaeksiy;haksy;NONWORD;HF;1
hhuwniy;hhuwniy;hoony;NONWORD;HF;1
maanviy;maanviy;monvy;NONWORD;HF;1
prayl;prayl;prile;NONWORD;HF;1
puwriy;puwriy;poory;NONWORD;HF;1
riynt;riynt;reent;NONWORD;HF;2
saech;saech;satch;NONWORD;HF;2
sehch;sehch;setch;NONWORD;HF;1
showk;showk;shoke;NONWORD;HF;1
shuwk;shuwk;shook;NONWORD;HF;1
skayt;skayt;skite;NONWORD;HF;2
slaef;slaef;slaph;NONWORD;HF;1
spuwt;spuwt;spoot;NONWORD;HF;1
stayk;stayk;stike;NONWORD;HF;1
steym;steym;stame;NONWORD;HF;1
stowf;stowf;stofe;NONWORD;HF;1
teyn;teyn;taine;NONWORD;HF;2
trawn;trawn;trown;NONWORD;HF;2
wihziht;wihziht;wisit;NONWORD;HF;1
axpehst;axpehst;appest;NONWORD;HF;2
baatliy;baatliy;bottly;NONWORD;HF;2
bahnjhd;bahnjhd;bunjed;NONWORD;HF;1
blaendiy;blaendiy;blandy;NONWORD;HF;1
bluhraed;bluhraed;blurad;NONWORD;HF;2
buwmihd;buwmihd;boomid;NONWORD;HF;2
chehmliy;chehmliy;chemly;NONWORD;HF;2
cheyts;cheyts;chatse;NONWORD;HF;1
chihndiy;chihndiy;chindy;NONWORD;HF;1
daatliy;daatliy;dottly;NONWORD;HF;1
dihveyk;dihveyk;devake;NONWORD;HF;1
drehptiy;drehptiy;drepty;NONWORD;HF;1
drihntiy;drihntiy;drinty;NONWORD;HF;2
ehsaxng;ehsaxng;essung;NONWORD;HF;2
flahnd;flahnd;fluned;NONWORD;HF;1
flaym;flaym;flimbe;NONWORD;HF;1
flowk;flowk;floake;NONWORD;HF;1
gahgd;gahgd;gugged;NONWORD;HF;2
graengk;graengk;grangk;NONWORD;HF;1
graeshk;graeshk;grashk;NONWORD;HF;1
greynax;greynax;graina;NONWORD;HF;1
jhahnjh;jhahnjh;jundge;NONWORD;HF;2
kleyn;kleyn;klaine;NONWORD;HF;1
klihmpiy;klihmpiy;klimpy;NONWORD;HF;2
lowks;lowks;loakse;NONWORD;HF;2
luwvd;luwvd;looved;NONWORD;HF;2
mehtihng;mehtihng;meting;NONWORD;HF;1
sehptihd;sehptihd;septed;NONWORD;HF;2
slaejh;slaejh;sladge;NONWORD;HF;2
sliykiy;sliykiy;sleeky;NONWORD;HF;2
sprowl;sprowl;sprole;NONWORD;HF;2
stahch;stahch;stutch;NONWORD;HF;2
streyk;streyk;strake;NONWORD;HF;1
striyr;striyr;streer;NONWORD;HF;1
stuwiht;stuwiht;stooit;NONWORD;HF;2
teynz;teynz;tainse;NONWORD;HF;1
uwpihng;uwpihng;ooping;NONWORD;HF;2
axdiymd;axdiymd;adeemed;NONWORD;HF;2
baehhaxnd;baehhaxnd;bahuned;NONWORD;HF;2
bihkjhihng;bihkjhihng;bikjing;NONWORD;HF;2
dahbaxnd;dahbaxnd;debuned;NONWORD;HF;2
dihplaart;dihplaart;deplart;NONWORD;HF;2
dihseyts;dihseyts;disatse;NONWORD;HF;1
dihskeyk;dihskeyk;diskake;NONWORD;HF;1
drihldihd;drihldihd;drilded;NONWORD;HF;2
frihnihst;frihnihst;frinist;NONWORD;HF;1
frowgihng;frowgihng;froging;NONWORD;HF;2
glaeftliy;glaeftliy;glaftly;NONWORD;HF;2
hhaardsaar;hhaardsaar;hardsar;NONWORD;HF;2
hhaendmehg;hhaendmehg;handmeg;NONWORD;HF;2
hhehdahst;hhehdahst;headust;NONWORD;HF;2
hhihndaxng;hhihndaxng;hindung;NONWORD;HF;2
ihvaecht;ihvaecht;evached;NONWORD;HF;1
iymowst;iymowst;eemoste;NONWORD;HF;1
jhihmbihng;jhihmbihng;jimbing;NONWORD;HF;1
kraentihd;kraentihd;kranted;NONWORD;HF;2
lehtaxnd;lehtaxnd;letuned;NONWORD;HF;1
mehnaxtihd;mehnaxtihd;meneted;NONWORD;HF;2
prehdliy;prehdliy;preadly;NONWORD;HF;2
pruwpaxk;pruwpaxk;proopuk;NONWORD;HF;2
shihltliy;shihltliy;shiltly;NONWORD;HF;1
skrihjh;skrihjh;skridge;NONWORD;HF;1
spawld;spawld;spowled;NONWORD;HF;1
straejh;straejh;stradge;NONWORD;HF;1
strahnd;strahnd;struned;NONWORD;HF;2
thriyst;thriyst;threest;NONWORD;HF;2
tihmpiyax;tihmpiyax;timpeea;NONWORD;HF;2
tayflaest;tayflaest;tiflast;NONWORD;LF;2
aykihng;aykihng;iking;NONWORD;LF;2
blehl;blehl;blell;NONWORD;LF;2
dehhhaxn;dehhhaxn;dehun;NONWORD;LF;1
drahft;drahft;druft;NONWORD;LF;1
fehptiy;fehptiy;fepty;NONWORD;LF;1
fihjh;fihjh;fidge;NONWORD;LF;1
flaest;flaest;flast;NONWORD;LF;2
gahvd;gahvd;guved;NONWORD;LF;1
glahng;glahng;glung;NONWORD;LF;2
gleyv;gleyv;glave;NONWORD;LF;1
gruwr;gruwr;groor;NONWORD;LF;1
hhehch;hhehch;hetch;NONWORD;LF;2
hhowsaxn;hhowsaxn;hosun;NONWORD;LF;1
iymliy;iymliy;eemly;NONWORD;LF;1
jhehnd;jhehnd;jened;NONWORD;LF;2
jhihjh;jhihjh;jidge;NONWORD;LF;1
kaejh;kaejh;kadge;NONWORD;LF;1
krahf;krahf;kruff;NONWORD;LF;1
lowk;lowk;loake;NONWORD;LF;1
mehndiy;mehndiy;mendy;NONWORD;LF;2
prowk;prowk;proke;NONWORD;LF;2
saaktiy;saaktiy;sokty;NONWORD;LF;1
saetiht;saetiht;satit;NONWORD;LF;2
shaang;shaang;shong;NONWORD;LF;1
skihnt;skihnt;skint;NONWORD;LF;1
skrael;skrael;skral;NONWORD;LF;2
slehsh;slehsh;slesh;NONWORD;LF;1
snaart;snaart;snart;NONWORD;LF;1
sowsh;sowsh;soshe;NONWORD;LF;1
taaplow;taaplow;toplo;NONWORD;LF;2
vihjh;vihjh;vidge;NONWORD;LF;2
wehntiy;wehntiy;wenty;NONWORD;LF;2
aendihst;aendihst;andist;NONWORD;LF;1
aepihst;aepihst;appist;NONWORD;LF;2
axdpayr;axdpayr;adpire;NONWORD;LF;2
baebihng;baebihng;babing;NONWORD;LF;1
baestiht;baestiht;bastit;NONWORD;LF;2
bihhhehsh;bihhhehsh;behesh;NONWORD;LF;2
blaenaxk;blaenaxk;blanuk;NONWORD;LF;2
buhmownax;buhmownax;bumona;NONWORD;LF;1
chayihng;chayihng;chiing;NONWORD;LF;1
drowts;drowts;drotse;NONWORD;LF;2
flehnd;flehnd;flened;NONWORD;LF;2
flihjh;flihjh;flidge;NONWORD;LF;1
fliych;fliych;fleech;NONWORD;LF;2
geyntiy;geyntiy;gainty;NONWORD;LF;2
grihjh;grihjh;gridge;NONWORD;LF;1
jhihmaang;jhihmaang;jimong;NONWORD;LF;2
kaylihng;kaylihng;kiling;NONWORD;LF;1
klihskow;klihskow;klisko;NONWORD;LF;2
lahljhd;lahljhd;luljed;NONWORD;LF;1
maampt;maampt;momped;NONWORD;LF;2
mehmihng;mehmihng;meming;NONWORD;LF;1
nihltihd;nihltihd;nilted;NONWORD;LF;1
paestaxk;paestaxk;pastuk;NONWORD;LF;1
rehnihng;rehnihng;rening;NONWORD;LF;1
reylt;reylt;railte;NONWORD;LF;1
sehshmax;sehshmax;seshma;NONWORD;LF;1
seysihng;seysihng;sasing;NONWORD;LF;1
skahch;skahch;skutch;NONWORD;LF;2
smowbaal;smowbaal;smobol;NONWORD;LF;1
staatiht;staatiht;stotit;NONWORD;LF;1
stayks;stayks;stikse;NONWORD;LF;1
stehnihd;stehnihd;stenid;NONWORD;LF;2
streyv;streyv;strave;NONWORD;LF;2
tehnaxniy;tehnaxniy;teneny;NONWORD;LF;1
trawsiy;trawsiy;trowsy;NONWORD;LF;1
weytaxl;weytaxl;waitul;NONWORD;LF;2
zaemihniy;zaemihniy;zaminy;NONWORD;LF;2
aedbaetihk;aedbaetihk;adbatik;NONWORD;LF;1
baaksaard;baaksaard;boksard;NONWORD;LF;1
bihtrawk;bihtrawk;bitrowk;NONWORD;LF;1
chaenjh;chaenjh;chandge;NONWORD;LF;2
dehksihng;dehksihng;deksing;NONWORD;LF;2
drayt;drayt;drighte;NONWORD;LF;2
ehmaxlayk;ehmaxlayk;emelike;NONWORD;LF;2
gaechaxld;gaechaxld;gatuled;NONWORD;LF;2
gehchihng;gehchihng;geching;NONWORD;LF;2
gehspiyk;gehspiyk;gespeek;NONWORD;LF;2
growfliy;growfliy;growfly;NONWORD;LF;2
hhehltlaag;hhehltlaag;heltlog;NONWORD;LF;1
jhaarpihng;jhaarpihng;jorping;NONWORD;LF;2
kaespihsh;kaespihsh;kaspish;NONWORD;LF;2
kihndraxk;kihndraxk;kindruk;NONWORD;LF;2
kiynehng;kiynehng;keeneng;NONWORD;LF;2
lihlteyt;lihlteyt;liltate;NONWORD;LF;1
mehsaxst;mehsaxst;messust;NONWORD;LF;2
meyldaan;meyldaan;maildon;NONWORD;LF;2
pawaxlviy;pawaxlviy;powelvy;NONWORD;LF;2
pehraxmaek;pehraxmaek;paremak;NONWORD;LF;1
pihtnihst;pihtnihst;pitnist;NONWORD;LF;2
raambaxst;raambaxst;rombust;NONWORD;LF;1
rihgowst;rihgowst;regoste;NONWORD;LF;1
showldiht;showldiht;sholdet;NONWORD;LF;1
skriytiy;skriytiy;skreety;NONWORD;LF;2
sowltmihn;sowltmihn;soltmin;NONWORD;LF;2
sprowts;sprowts;sprotse;NONWORD;LF;1
stowmihng;stowmihng;stoming;NONWORD;LF;2
swaanjh;swaanjh;swondge;NONWORD;LF;1
